Text,Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval
I need funds to launch my handmade jewelry brand online.,138359,570,83459,33.42,unemployed,Rejected
I need money to open a small bookstore and café.,117596,519,50123,14.33,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,95080,378,69258,12.8,employed,Rejected
I need financial help to install a swimming pool in my backyard.,194517,650,57054,5.45,unemployed,Rejected
I need money to invest in stock trading and portfolio building.,69173,823,46033,8.96,unemployed,Rejected
I need a loan to develop and launch my mobile app startup.,35188,511,28050,117.13,employed,Rejected
I need a loan to repair my car after an accident.,136538,739,40440,28.28,employed,Approved
I need financial help to install a swimming pool in my backyard.,93258,808,35101,11.0,unemployed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,63466,328,18107,15.57,employed,Rejected
I need funds to buy new furniture and appliances for my house.,83683,631,8820,26.88,employed,Approved
I need a loan to pay for an international vacation with my family.,68387,753,36501,23.5,employed,Approved
I need funds to pay for my pilot training program.,22993,500,17651,22.21,unemployed,Rejected
I need financial support to open a daycare center in my neighborhood.,96304,779,7056,38.05,employed,Approved
I want to buy a car for my rideshare business on Uber.,193382,794,29418,17.34,employed,Approved
I want to start a small roadside food stall and need funds for equipment.,118885,447,49912,37.48,employed,Rejected
I need a loan to build a website and market my freelance services.,130380,794,84428,7.14,unemployed,Rejected
I need financial support for medical treatment abroad.,44591,810,3739,32.86,unemployed,Rejected
I need money to launch my own tech startup focused on AI solutions.,157246,828,74520,19.63,employed,Approved
I need money to purchase a food truck and start my own business.,46995,813,15573,65.02,employed,Rejected
I need a loan to pay off overdue electricity and water bills.,195973,465,78954,15.5,unemployed,Rejected
I need a loan to pay for legal fees related to my business license.,87293,739,40126,40.81,employed,Approved
I need a loan to cover emergency expenses after a natural disaster.,125192,337,95099,20.9,employed,Rejected
I need money to cover unexpected medical expenses from surgery.,121424,556,5350,34.83,unemployed,Rejected
I want to consolidate my credit card debts into one manageable payment.,80153,605,23039,16.92,employed,Approved
I need money to invest in stock trading and portfolio building.,198959,354,145785,6.58,employed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,166447,402,105098,10.4,employed,Rejected
I need financial support to open a daycare center in my neighborhood.,141778,311,37342,24.9,employed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,107061,552,79428,8.77,employed,Rejected
I need financial support to open a daycare center in my neighborhood.,56319,649,27314,28.88,employed,Approved
I need money to cover unexpected legal expenses related to a dispute.,65673,415,38446,49.87,employed,Rejected
I need money to publish and market my self-written book.,139405,675,68423,16.58,employed,Approved
I need a loan to develop and launch my mobile app startup.,178199,537,97483,10.12,employed,Rejected
I want to start a local transportation service and need funds for a van.,98130,496,11837,50.67,employed,Rejected
I need money to invest in a franchise business opportunity.,114919,759,43765,18.0,employed,Approved
I need a loan to build a website and market my freelance services.,101657,646,50464,21.27,employed,Approved
I want to purchase land to start an organic farming venture.,52012,326,6340,30.14,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",43180,454,17026,94.0,employed,Rejected
I need funds to enroll in a professional certification program.,169777,638,135539,17.14,unemployed,Rejected
I want to consolidate my credit card debts into one manageable payment.,77815,647,30739,57.2,employed,Rejected
I need financial support to pay for my son's football training program.,149222,383,92653,24.69,employed,Rejected
I need a loan to install a security system at home.,28561,653,17394,111.77,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,170242,610,34965,5.77,unemployed,Rejected
I need money to open a small bookstore and café.,21261,637,16780,52.25,unemployed,Rejected
I need financial help to build my dream home in the countryside.,161785,537,83732,28.8,unemployed,Rejected
I need money to cover funeral expenses for a loved one.,82670,758,37609,36.58,unemployed,Rejected
I need a loan to pay for an international vacation with my family.,166106,764,120932,18.94,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,35896,309,10168,84.73,employed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,105091,765,31563,46.93,employed,Approved
I need money to purchase specialized tools for my auto repair shop.,81953,345,15797,24.31,employed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,172081,730,88380,20.09,unemployed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,109203,419,40609,4.6,unemployed,Rejected
I need financial help to install a swimming pool in my backyard.,31321,610,24768,107.77,employed,Rejected
I need a loan to pay for an international vacation with my family.,161925,394,51727,17.03,employed,Rejected
I need a loan to support my side business selling handmade candles.,95893,466,7745,38.27,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,171970,606,109411,21.1,employed,Rejected
I want to make home improvements like installing solar panels.,48181,352,31976,76.23,unemployed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,137853,670,89291,17.41,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,109501,772,68074,13.54,unemployed,Rejected
I need financial help to pay off my high-interest payday loans.,63625,696,38789,78.22,employed,Rejected
I need financial support to renovate my rental apartment.,152883,645,90168,14.77,employed,Approved
I need money to cover funeral expenses for a loved one.,172035,310,134030,26.1,unemployed,Rejected
I need money to open a small bookstore and café.,158523,657,2495,20.39,unemployed,Rejected
I need money to open a small bookstore and café.,174699,486,107882,27.24,employed,Rejected
I need a loan to repair my car after an accident.,156158,435,103470,20.4,unemployed,Rejected
I need funds to pay for my daughter's college tuition.,183786,753,120594,18.44,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,142784,341,27885,33.53,unemployed,Rejected
I need a loan to develop and launch my mobile app startup.,118631,528,62398,31.67,employed,Rejected
I need a loan to pay for a down payment on my first home.,38286,387,15345,22.5,employed,Rejected
I need financial help to cover maternity and delivery expenses.,52296,433,40129,78.97,unemployed,Rejected
I need money to cover adoption fees and related expenses.,69134,333,36365,45.8,employed,Rejected
I need a loan to pay for a digital marketing course to grow my business.,72878,467,13621,27.71,employed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",57512,520,39626,78.98,employed,Rejected
I need financial help to build my dream home in the countryside.,93380,688,53577,6.94,employed,Approved
I need money to open a small bookstore and café.,168373,564,1604,11.79,unemployed,Rejected
I want to purchase land to start an organic farming venture.,191538,433,90397,9.14,unemployed,Rejected
I need financial help to install a swimming pool in my backyard.,122704,630,79484,11.58,unemployed,Rejected
I need funds to enroll in a professional certification program.,55793,817,16888,49.33,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",28652,691,9316,78.04,unemployed,Rejected
I need a loan to pay for a digital marketing course to grow my business.,159384,790,33166,17.14,employed,Approved
I need a loan to pay for an international vacation with my family.,171691,832,68089,3.29,employed,Approved
I need a loan to pay for a much-needed vacation after years of saving.,111766,618,70390,12.87,employed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,84901,754,40673,37.55,employed,Approved
I need a loan to pay for a much-needed vacation after years of saving.,107299,330,74024,33.96,unemployed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,187127,757,105041,21.74,employed,Approved
I need financial support for medical treatment abroad.,31021,534,5261,140.78,employed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,85301,376,5480,42.78,employed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,166848,710,55748,19.29,employed,Approved
I need money to launch my own tech startup focused on AI solutions.,143725,837,21903,25.55,unemployed,Rejected
I need funds to buy new furniture and appliances for my house.,39998,557,27396,38.31,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,127136,477,15824,33.64,unemployed,Rejected
I need financial support to open a daycare center in my neighborhood.,101188,607,56982,12.38,employed,Approved
I need a loan to finance my MBA and career advancement.,71038,487,37484,57.03,employed,Rejected
I need money to purchase specialized tools for my auto repair shop.,21176,319,2287,123.94,employed,Rejected
I need money to cover adoption fees and related expenses.,158168,799,45364,16.1,employed,Approved
I need financial help to pay off my high-interest payday loans.,25558,450,6217,194.21,employed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,148214,669,49047,16.53,unemployed,Rejected
I want to expand my small online clothing store.,124424,582,66311,31.92,employed,Approved
I want to expand my small online clothing store.,34563,575,14600,91.41,employed,Rejected
I want to start a small roadside food stall and need funds for equipment.,103764,318,47597,10.99,employed,Rejected
I need a loan to pay for legal fees related to my business license.,198505,758,73292,10.87,employed,Approved
"I need financial help to cover wedding expenses, including the venue and catering.",80243,707,32541,10.75,unemployed,Rejected
I need financial support to renovate my rental apartment.,162305,493,2755,11.22,unemployed,Rejected
I want to start a local transportation service and need funds for a van.,149344,445,91281,13.79,employed,Rejected
I need financial support to open a daycare center in my neighborhood.,160223,310,7419,20.56,employed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,107968,756,21123,40.71,employed,Approved
I need money to cover unexpected legal expenses related to a dispute.,125207,797,36113,7.94,unemployed,Rejected
I want to start a local transportation service and need funds for a van.,46141,771,7268,11.82,unemployed,Rejected
I need a loan to buy a reliable used car for work commuting.,48012,742,32679,78.16,employed,Rejected
"I need a loan for home renovation, including a kitchen remodel.",181854,432,20297,15.38,employed,Rejected
I need a loan to buy a reliable used car for work commuting.,51236,458,24123,80.07,employed,Rejected
I need a loan to finance my MBA and career advancement.,79465,452,30488,52.9,employed,Rejected
I need money to start a home-based catering business.,170824,502,90251,21.21,employed,Rejected
I want to make home improvements like installing solar panels.,110091,848,49752,42.14,unemployed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,40270,739,27282,46.75,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,94035,468,62164,6.67,unemployed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,99352,413,25054,25.47,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,82448,721,26262,18.66,employed,Approved
I want to purchase land to start an organic farming venture.,177624,381,63320,21.89,employed,Rejected
I need money to cover adoption fees and related expenses.,98742,781,31885,34.9,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,145833,475,39937,15.02,employed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,71787,650,41805,34.74,unemployed,Rejected
I need a loan to upgrade my small music studio with better equipment.,149868,468,114640,29.73,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,144925,412,54228,18.71,unemployed,Rejected
I need a loan to pay off overdue electricity and water bills.,155928,344,81397,9.79,employed,Rejected
I need a loan to pay off overdue electricity and water bills.,90834,846,3459,52.2,unemployed,Rejected
I want to invest in livestock to start a small dairy farm.,96811,782,55887,44.51,employed,Approved
"I need a loan for home renovation, including a kitchen remodel.",33065,593,20706,17.0,employed,Rejected
I want to buy a car for my rideshare business on Uber.,112887,794,63636,17.67,unemployed,Rejected
I want to invest in livestock to start a small dairy farm.,95493,471,51062,33.07,employed,Rejected
I want to invest in livestock to start a small dairy farm.,115936,567,21157,37.88,employed,Approved
I need a loan to pay off overdue electricity and water bills.,128158,536,79044,6.61,employed,Rejected
I need money to start a home-based catering business.,185027,360,88054,6.25,employed,Rejected
I want to start a small roadside food stall and need funds for equipment.,83367,411,61308,14.93,employed,Rejected
I need financial support for medical treatment abroad.,123809,618,34898,7.52,unemployed,Rejected
I need money to buy new tools and materials for my woodworking business.,130389,313,84117,4.41,employed,Rejected
I need a loan to upgrade my small music studio with better equipment.,89702,428,30199,50.17,employed,Rejected
I need money to buy new tools and materials for my woodworking business.,180122,840,118538,12.7,unemployed,Rejected
I need a loan to buy a motorcycle for daily transportation.,61396,548,22170,77.25,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,146169,788,47256,7.12,employed,Approved
I need money to cover unexpected medical expenses from surgery.,64252,470,11716,51.77,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,81938,712,1694,32.05,employed,Approved
I need funds to buy new furniture and appliances for my house.,57552,316,3486,74.12,employed,Rejected
I need financial assistance to launch my own YouTube content creation business.,98804,764,9854,32.03,unemployed,Rejected
I need money to purchase a food truck and start my own business.,58181,762,33039,65.28,employed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,103387,566,7880,46.59,unemployed,Rejected
I need money to cover adoption fees and related expenses.,188112,554,106002,7.01,unemployed,Rejected
I need a loan to develop and launch my mobile app startup.,36034,743,12917,94.42,unemployed,Rejected
I need a loan to pay off overdue electricity and water bills.,183046,501,61607,13.68,unemployed,Rejected
I need money to cover unexpected medical expenses from surgery.,92660,627,25015,20.39,unemployed,Rejected
I need money to cover adoption fees and related expenses.,154580,780,91952,26.89,employed,Approved
I need money to buy new tools and materials for my woodworking business.,139714,502,109427,15.22,employed,Rejected
I need a loan to pay off overdue electricity and water bills.,84559,320,31466,43.22,unemployed,Rejected
I need a loan to support my side business selling handmade candles.,85156,513,24696,9.76,employed,Rejected
I need funds to expand my home-based bakery to a physical store.,101323,403,20992,16.49,unemployed,Rejected
I need money to purchase specialized tools for my auto repair shop.,86453,322,50061,53.81,employed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,61230,356,16083,34.04,unemployed,Rejected
I need a loan to buy a reliable used car for work commuting.,104986,374,7317,29.72,employed,Rejected
I need money to pay for a vocational training course in plumbing.,54621,634,2857,20.65,unemployed,Rejected
I need funds to enroll in a professional certification program.,115849,665,71034,22.66,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",174077,573,14717,26.74,unemployed,Rejected
I need financial help to pay off my high-interest payday loans.,59927,606,26773,45.62,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,40629,460,27640,72.2,unemployed,Rejected
I need funds to enroll in a professional certification program.,54497,628,34468,37.14,employed,Rejected
I need a loan to buy a truck and start a moving business.,155495,377,12944,27.93,employed,Rejected
I want to purchase land to start an organic farming venture.,25589,657,11160,76.7,unemployed,Rejected
I want to expand my small online clothing store.,181604,781,88341,6.73,unemployed,Rejected
I need funds to launch my handmade jewelry brand online.,113832,808,52423,11.37,unemployed,Rejected
I want to invest in a rental property as a source of passive income.,65528,827,43571,70.82,employed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,127368,551,57437,4.82,employed,Approved
I need money to invest in a franchise business opportunity.,55160,376,36156,88.83,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,82245,623,1606,16.55,employed,Approved
I need financial help to cover unexpected veterinary bills for my pet.,134247,374,6444,18.99,unemployed,Rejected
I need financial help to pay off my high-interest payday loans.,34348,621,19427,130.39,unemployed,Rejected
I want to start a local transportation service and need funds for a van.,113978,730,59378,38.64,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,100234,494,29281,49.83,unemployed,Rejected
"I need a loan for home renovation, including a kitchen remodel.",152431,343,5973,28.77,employed,Rejected
I need a loan to buy a reliable used car for work commuting.,40616,591,25010,79.69,employed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",76767,452,55464,47.97,employed,Rejected
I need financial help to install a swimming pool in my backyard.,175686,512,74674,4.27,unemployed,Rejected
I need a loan to pay for an international vacation with my family.,121154,548,69551,34.14,employed,Rejected
I need money to invest in a franchise business opportunity.,153236,784,97188,26.17,unemployed,Rejected
I need funds to enroll in a professional certification program.,158265,661,123023,20.57,employed,Rejected
I want to purchase land to start an organic farming venture.,184550,336,101089,26.18,unemployed,Rejected
I need a loan to pay for legal fees related to my business license.,165962,849,100665,9.34,unemployed,Rejected
I need money to cover adoption fees and related expenses.,157364,335,63805,3.68,employed,Rejected
I need a loan to buy a truck and start a moving business.,61049,301,37305,76.71,employed,Rejected
I need financial support to renovate my rental apartment.,137290,458,26317,33.82,unemployed,Rejected
I need money to cover funeral expenses for a loved one.,112197,730,3325,20.97,unemployed,Rejected
I need a loan to upgrade my small music studio with better equipment.,78530,329,15545,50.89,employed,Rejected
I need a loan to pay for legal fees related to my business license.,178245,754,98315,21.94,employed,Approved
I need financial help to build my dream home in the countryside.,110879,590,72909,40.42,employed,Rejected
I need money to invest in a franchise business opportunity.,140966,381,51794,15.64,unemployed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,167927,336,100331,19.94,unemployed,Rejected
I need money to invest in stock trading and portfolio building.,117668,370,45253,35.5,unemployed,Rejected
I need money to refinance my home loan at a lower interest rate.,42020,735,12610,59.36,unemployed,Rejected
I need a loan to buy a reliable used car for work commuting.,112037,674,28161,27.99,unemployed,Rejected
I need money to pay for a vocational training course in plumbing.,43436,815,29763,18.88,employed,Rejected
I need a loan to develop and launch my mobile app startup.,24261,333,12452,56.99,unemployed,Rejected
I need funds to expand my home-based bakery to a physical store.,106842,519,62567,19.41,unemployed,Rejected
I need a loan to build a website and market my freelance services.,83426,318,27222,59.18,employed,Rejected
I need money to open a small bookstore and café.,149795,792,78581,8.07,employed,Approved
I want to buy a car for my rideshare business on Uber.,48241,680,36881,48.83,unemployed,Rejected
I need financial help to pay off my high-interest payday loans.,23307,405,9605,61.82,employed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,118290,597,43106,22.9,employed,Approved
I need a loan to relocate to a new city after getting a job offer.,109679,602,5109,39.8,employed,Approved
I need money to cover funeral expenses for a loved one.,168905,807,121126,18.54,employed,Rejected
I need a loan to upgrade my small music studio with better equipment.,153693,789,41613,9.01,unemployed,Rejected
I need money to refinance my home loan at a lower interest rate.,122689,519,27502,4.78,unemployed,Rejected
I need money to pay for a vocational training course in plumbing.,157927,525,8790,31.02,employed,Rejected
"I need a loan for home renovation, including a kitchen remodel.",172112,381,59563,13.99,unemployed,Rejected
I need a loan to buy a motorcycle for daily transportation.,181241,614,60251,25.12,employed,Approved
I need a loan to buy a truck and start a moving business.,92870,408,55103,36.27,unemployed,Rejected
I need money to start a home-based catering business.,128347,696,68106,11.69,unemployed,Rejected
I need a loan to install a security system at home.,114169,402,80381,34.34,unemployed,Rejected
I need a loan to buy a motorcycle for daily transportation.,58082,644,30644,26.12,unemployed,Rejected
I need a loan to pay for legal fees related to my business license.,34597,304,5174,45.88,employed,Rejected
I need funds to pay for my daughter's college tuition.,53984,529,3552,44.1,unemployed,Rejected
I need money to open a small bookstore and café.,142709,762,25176,8.19,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,192830,677,148813,20.22,employed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,46814,828,11879,98.74,employed,Rejected
I need a loan to support my side business selling handmade candles.,38205,722,15134,82.14,employed,Rejected
I need money to launch my own tech startup focused on AI solutions.,50083,484,38952,38.44,employed,Rejected
I need a loan to buy a truck and start a moving business.,158203,600,64689,14.57,employed,Approved
I need money to open a small bookstore and café.,70777,726,22389,14.74,employed,Approved
I need money to purchase specialized tools for my auto repair shop.,122474,630,37942,33.6,unemployed,Rejected
I need money to purchase a food truck and start my own business.,60709,315,11490,23.86,unemployed,Rejected
I need financial help to pay off my high-interest payday loans.,85814,849,52496,47.39,employed,Rejected
I need money to purchase updated equipment for my photography business.,84046,772,61558,24.25,employed,Rejected
I need money to purchase a food truck and start my own business.,116204,342,10656,17.07,employed,Rejected
I need financial help to install a swimming pool in my backyard.,28274,456,13473,105.82,employed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,51856,554,38601,94.26,unemployed,Rejected
I need a loan to start a small business.,120462,387,35562,5.48,unemployed,Rejected
I need funds to enroll in a professional certification program.,151428,427,107768,7.71,employed,Rejected
I need funds to launch my handmade jewelry brand online.,119186,446,64727,20.9,unemployed,Rejected
I need a loan to repair my car after an accident.,95881,364,29894,8.31,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,93637,395,10143,19.2,employed,Rejected
I need a loan to pay for an international vacation with my family.,167420,406,3544,15.2,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,80674,460,42692,31.77,employed,Rejected
I need a loan to pay for a down payment on my first home.,173943,302,82741,14.54,unemployed,Rejected
I need funds to pay for my daughter's college tuition.,151682,669,1178,21.19,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",121290,764,39785,9.53,unemployed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,75752,370,13971,8.48,employed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,112717,699,42248,20.24,unemployed,Rejected
I want to invest in livestock to start a small dairy farm.,59968,768,44345,44.2,unemployed,Rejected
I need money to start a home-based catering business.,34326,765,1895,65.68,employed,Rejected
I need a loan to repair my car after an accident.,137894,571,82033,15.9,unemployed,Rejected
I need a loan to start a small business.,178405,535,28929,11.87,employed,Rejected
I need financial support to open a daycare center in my neighborhood.,181184,595,49712,5.98,unemployed,Rejected
I need money to purchase a food truck and start my own business.,38561,304,1554,78.45,employed,Rejected
I need funds to stock inventory for my new retail store.,131837,761,31637,21.22,employed,Approved
I need a loan to buy a reliable used car for work commuting.,111142,800,32645,27.88,employed,Approved
I need funds to pay for my daughter's college tuition.,41289,327,20744,96.84,unemployed,Rejected
I need money to buy new tools and materials for my woodworking business.,97417,716,22724,11.5,unemployed,Rejected
I need a loan to pay off overdue electricity and water bills.,123852,338,38830,24.59,employed,Rejected
I need a loan to relocate to a new city after getting a job offer.,93635,751,69295,25.68,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,177141,607,100240,23.59,unemployed,Rejected
I need money to publish and market my self-written book.,86145,829,62249,11.08,employed,Rejected
I need money to pay for a vocational training course in plumbing.,126243,409,8019,5.28,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,21029,373,8967,162.3,employed,Rejected
I need a loan to build a website and market my freelance services.,102103,617,26856,43.12,employed,Approved
I need funds to pay for my daughter's college tuition.,136431,840,15502,8.62,employed,Approved
I need a loan to pay for a down payment on my first home.,47949,733,3392,17.54,unemployed,Rejected
"I need a loan for home renovation, including a kitchen remodel.",64622,395,19783,34.92,unemployed,Rejected
I need funds to enroll in a professional certification program.,113499,642,56426,38.58,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,79624,537,44619,25.48,unemployed,Rejected
I need money to invest in a franchise business opportunity.,109769,683,30990,14.21,employed,Approved
I need a loan to build a website and market my freelance services.,198180,327,62377,9.5,unemployed,Rejected
I need money to pay for a vocational training course in plumbing.,20330,356,11112,124.88,employed,Rejected
I need funds to pay for my pilot training program.,184235,713,57214,15.09,unemployed,Rejected
I need a loan to pay for an international vacation with my family.,180805,789,120632,26.24,employed,Rejected
I want to make home improvements like installing solar panels.,139126,521,40772,30.35,unemployed,Rejected
I need financial help to pay off my high-interest payday loans.,91577,818,20953,40.91,employed,Approved
I want to purchase land to start an organic farming venture.,157901,685,87671,16.84,employed,Approved
I need financial help to pay off my high-interest payday loans.,145609,697,60406,28.34,employed,Approved
I need a loan to cover moving expenses after being transferred to another city.,40510,547,19890,56.58,employed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,146249,699,5374,23.15,unemployed,Rejected
I need a loan to start a small business.,115758,672,85028,35.98,employed,Rejected
I need a loan to build a website and market my freelance services.,80029,627,40814,44.12,employed,Approved
I need financial assistance to buy farm equipment for my agricultural business.,51833,697,23216,26.87,employed,Approved
I need financial support to open a daycare center in my neighborhood.,173995,492,69936,16.85,unemployed,Rejected
I need money to purchase a food truck and start my own business.,125026,513,71138,35.06,unemployed,Rejected
I want to consolidate my credit card debts into one manageable payment.,46640,603,22473,103.83,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,21285,536,12753,208.01,employed,Rejected
I need financial help to build my dream home in the countryside.,193385,435,26967,18.7,unemployed,Rejected
I need financial support to open a daycare center in my neighborhood.,172880,454,85450,16.62,employed,Rejected
I need a loan to relocate to a new city after getting a job offer.,106315,324,23758,42.99,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",21858,349,3628,222.8,employed,Rejected
I need a loan to relocate to a new city after getting a job offer.,41800,634,3418,78.46,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,173464,770,68612,10.16,unemployed,Rejected
I need money to publish and market my self-written book.,41469,442,29030,25.92,employed,Rejected
I need a loan to start a small business.,32288,824,22467,43.89,employed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,99417,684,7715,42.8,unemployed,Rejected
I need a loan to build a website and market my freelance services.,53516,501,15290,91.86,employed,Rejected
I need a loan to relocate to a new city after getting a job offer.,89126,568,17366,44.52,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,184651,550,109184,25.0,unemployed,Rejected
I need funds to launch my handmade jewelry brand online.,129835,371,19153,34.43,employed,Rejected
I need money to purchase updated equipment for my photography business.,159016,439,3751,8.9,unemployed,Rejected
I need a loan to repair my car after an accident.,41393,838,27933,75.03,unemployed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,146010,693,84633,6.26,employed,Approved
"I need a loan for home renovation, including a kitchen remodel.",60774,494,18157,52.81,employed,Rejected
I need financial assistance to launch my own YouTube content creation business.,179265,544,133839,18.27,employed,Rejected
I need funds to launch my handmade jewelry brand online.,184017,367,122226,17.45,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,23919,549,8383,61.27,employed,Rejected
I want to invest in a rental property as a source of passive income.,192645,483,37677,14.27,employed,Rejected
I need a loan to pay for legal fees related to my business license.,139069,404,50877,11.83,employed,Rejected
I want to start a small roadside food stall and need funds for equipment.,172875,566,85116,25.83,employed,Approved
I need financial support for medical treatment abroad.,102056,489,55325,44.39,unemployed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,98979,832,33546,23.49,unemployed,Rejected
I need money to launch my own tech startup focused on AI solutions.,134034,819,16223,9.25,employed,Approved
I need a loan to cover hospital bills after an unexpected surgery.,78343,526,28923,10.26,unemployed,Rejected
"I need a loan for home renovation, including a kitchen remodel.",178597,832,85010,3.7,unemployed,Rejected
I need a loan to build a website and market my freelance services.,42327,641,23788,60.94,employed,Rejected
I need funds to pay for my pilot training program.,63751,793,32385,62.39,employed,Rejected
I need funds to stock inventory for my new retail store.,113409,400,3072,13.19,unemployed,Rejected
I need funds to pay for my pilot training program.,81703,779,8617,19.62,unemployed,Rejected
I need money to cover adoption fees and related expenses.,124028,704,29359,5.22,employed,Approved
I need a loan to install a security system at home.,104934,820,10497,23.31,employed,Approved
I need money to cover adoption fees and related expenses.,183181,627,129373,15.06,unemployed,Rejected
I want to invest in a rental property as a source of passive income.,139373,500,109865,31.88,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,171747,623,18681,16.12,employed,Approved
I need financial help to build my dream home in the countryside.,138342,575,12185,35.93,employed,Approved
I want to expand my small online clothing store.,145693,521,60775,21.04,employed,Rejected
I need a loan to repair my car after an accident.,158334,735,47549,9.3,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,133007,406,22012,8.85,unemployed,Rejected
I need financial support to renovate my rental apartment.,62039,510,3007,30.03,employed,Rejected
I need money to launch my own tech startup focused on AI solutions.,31262,670,9167,99.41,employed,Rejected
I need money to publish and market my self-written book.,58313,470,17563,79.18,employed,Rejected
I need money to publish and market my self-written book.,142247,528,105775,11.41,employed,Rejected
I need a loan to buy a reliable used car for work commuting.,143654,834,27571,27.42,employed,Approved
I need funds to stock inventory for my new retail store.,186900,751,112872,10.72,unemployed,Rejected
I need financial support to renovate my rental apartment.,162807,657,25103,9.08,employed,Approved
I need money to purchase specialized tools for my auto repair shop.,55057,306,41447,16.7,unemployed,Rejected
I need money to cover unexpected medical expenses from surgery.,164287,602,72404,8.54,unemployed,Rejected
I need financial help to build my dream home in the countryside.,196532,371,42986,17.11,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,74877,705,5339,35.23,employed,Approved
I want to pay off my payday loans and switch to a lower-interest option.,112663,639,3553,9.75,employed,Approved
I need a loan to pay for a much-needed vacation after years of saving.,41171,333,4762,93.85,unemployed,Rejected
I need financial help to install a swimming pool in my backyard.,87091,431,57265,15.43,employed,Rejected
I need money to cover funeral expenses for a loved one.,32492,313,14708,57.7,employed,Rejected
I need money to invest in stock trading and portfolio building.,55295,432,22118,37.56,employed,Rejected
I need financial help to pay off my high-interest payday loans.,191492,841,1739,10.51,employed,Approved
I need money to start a home-based catering business.,198992,445,72999,23.58,employed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,106741,509,16037,39.95,unemployed,Rejected
